Graph NumThread Time
graphs/rmat-b.mtx 2 1.27496
graphs/rmat-b.mtx 4 0.935356
graphs/rmat-b.mtx 8 0.598445
graphs/rmat-b.mtx 16 0.468402
graphs/rmat-b.mtx 1 1.93783
graphs/rmat-b.mtx 2 1.35851
graphs/rmat-b.mtx 4 0.976148
graphs/rmat-b.mtx 8 0.651569
graphs/rmat-b.mtx 16 0.469182
graphs/rmat-b.mtx 1 1.95389
graphs/rmat-b.mtx 2 1.28231
graphs/rmat-b.mtx 4 0.779778
graphs/rmat-b.mtx 8 0.521799
graphs/rmat-b.mtx 16 0.44485
graphs/rmat-b.mtx 1 1.93093
graphs/rmat-b.mtx 2 1.37262
graphs/rmat-b.mtx 4 0.918002
graphs/rmat-b.mtx 8 0.596035
graphs/rmat-b.mtx 16 0.526462
graphs/rmat-b.mtx 1 1.93032
graphs/rmat-b.mtx 2 1.31106
graphs/rmat-b.mtx 4 0.884216
graphs/rmat-b.mtx 8 0.571942
graphs/rmat-b.mtx 16 0.512301
graphs/rmat-b.mtx 1 1.93561
graphs/rmat-b.mtx 2 1.45128
graphs/rmat-b.mtx 4 0.798602
graphs/rmat-b.mtx 8 0.536698
graphs/rmat-b.mtx 16 0.527682
graphs/rmat-b.mtx 1 1.93523
graphs/rmat-b.mtx 2 1.2102
graphs/rmat-b.mtx 4 0.817845
graphs/rmat-b.mtx 8 0.558926
graphs/rmat-b.mtx 16 0.437993
graphs/rmat-b.mtx 1 1.93179
graphs/rmat-b.mtx 2 1.39149
graphs/rmat-b.mtx 4 0.79917
graphs/rmat-b.mtx 8 0.519572
graphs/rmat-b.mtx 16 0.509968
graphs/rmat-b.mtx 1 1.9618
graphs/rmat-b.mtx 2 1.20557
graphs/rmat-b.mtx 4 0.778606
graphs/rmat-b.mtx 8 0.521655
graphs/rmat-b.mtx 16 0.425248
graphs/rmat-b.mtx 1 1.96578
graphs/rmat-b.mtx 2 1.39733
graphs/rmat-b.mtx 4 0.876273
graphs/rmat-b.mtx 8 0.533281
graphs/rmat-b.mtx 16 0.475932
graphs/rmat-b.mtx 1 1.92743
graphs/rmat-b.mtx 2 1.34819
graphs/rmat-b.mtx 4 0.851002
graphs/rmat-b.mtx 8 0.603874
graphs/rmat-b.mtx 16 0.471216
graphs/rmat-b.mtx 1 1.92992
graphs/rmat-b.mtx 2 1.35609
graphs/rmat-b.mtx 4 0.876565
graphs/rmat-b.mtx 8 0.617075
graphs/rmat-b.mtx 16 0.461437
